age,male,part_time,area_of_birth,area_of_work,wage,job_tenure,firm_age,firm_size,precarious_job,firm_sector,skill_level,categoria,macrogruppo,agr_alim,tess_abbigl,manif_leggera,chim_materiali,metalmeccanica,util_trasporti,serv_avanzati
50,1,1,3,3,300,1,2,2,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
39,0,1,1,1,450,1,9,1,0,15,3,Fabbricazione di articoli in pel,Tessile e Abbigliamento,0,1,0,0,0,0,0
39,0,0,4,4,450,0,5,1,0,52,2,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
61,1,0,3,3,600,1,37,1,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
37,0,0,3,3,350,0,0,1,0,85,2,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
47,1,0,6,1,550,4,34,3,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
33,0,1,2,2,350,1,14,2,1,85,3,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
46,1,0,2,2,650,5,36,3,0,92,2,Attività giochi azzardo,Servizi Avanzati,0,0,0,0,0,0,1
53,1,0,3,3,1200,3,18,4,0,11,4,Industria delle bevande,Agricoltura e Alimentare,1,0,0,0,0,0,0
53,1,0,2,2,350,1,25,3,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
46,1,0,5,5,350,3,19,1,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
35,0,1,6,2,450,1,5,1,0,60,3,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
36,1,0,4,4,500,2,33,3,0,25,2,Fabbricazione di prodotti in met,Metalmeccanica,0,0,0,0,1,0,0
27,0,1,1,1,450,1,6,3,0,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
20,1,0,2,2,250,0,31,1,0,20,1,Fabbricazione prodotti chimici,Chimica e Materiali,0,0,0,1,0,0,0
46,0,1,4,1,1000,0,2,1,0,28,3,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
58,0,1,5,5,600,5,5,4,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
25,0,1,3,3,300,1,30,1,0,93,2,Attività sportive,Servizi Avanzati,0,0,0,0,0,0,1
33,0,0,4,4,300,3,0,3,0,18,2,Stampa e produzione di supporti,Manifatturiera Leggera,0,0,1,0,0,0,0
35,1,0,6,1,250,1,14,2,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
52,0,0,5,1,550,5,32,3,0,36,2,"Raccolta, trattamento e fornitur",Utilities e Trasporti,0,0,0,0,0,1,0
21,1,0,6,2,350,1,23,1,0,45,1,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
56,1,0,2,2,600,2,22,1,0,52,2,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
23,0,0,4,4,300,0,4,1,0,85,2,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
56,1,0,1,1,550,1,60,4,0,64,3,Attività di servizi finanziari,Servizi Avanzati,0,0,0,0,0,0,1
